x;f(x)
0.0100;2.8508
0.0101;2.8508
0.0102;2.8508
0.0103;2.8508
0.0104;2.8508
0.0105;2.8508
0.0105;2.8508
0.0106;2.8508
0.0107;2.8508
0.0108;2.8508
0.0109;2.8508
0.0110;2.8508
0.0111;2.8508
0.0112;2.8508
0.0113;2.8508
0.0114;2.8508
0.0114;2.8508
0.0115;2.8508
0.0116;2.8508
0.0117;2.8508
0.0118;2.8508
0.0119;2.8508
0.0120;2.8508
0.0121;2.8508
0.0122;2.8508
0.0123;2.8508
0.0123;2.8508
0.0124;2.8508
0.0125;2.8508
0.0126;2.8508
0.0127;2.8508
0.0128;2.8508
0.0129;2.8508
0.0130;2.8508
0.0131;2.8508
0.0132;2.8508
0.0132;2.8508
0.0133;2.8508
0.0134;2.8508
0.0135;2.8508
0.0136;2.8508
0.0137;2.8508
0.0138;2.8508
0.0139;2.8508
0.0140;2.8508
0.0141;2.8508
0.0141;2.8508
0.0142;2.8508
0.0143;2.8508
0.0144;2.8508
0.0145;2.8508
0.0146;2.8508
0.0147;2.8508
0.0148;2.8508
0.0149;2.8508
0.0150;2.8508
0.0150;2.8508
0.0151;2.8508
0.0152;2.8508
0.0153;2.8508
0.0154;2.8508
0.0155;2.8508
0.0156;2.8508
0.0157;2.8508
0.0158;2.8508
0.0159;2.8508
0.0159;2.8508
0.0160;2.8508
0.0161;2.8508
0.0162;2.8508
0.0163;2.8508
0.0164;2.8508
0.0165;2.8508
0.0166;2.8508
0.0167;2.8508
0.0168;2.8508
0.0168;2.8508
0.0169;2.8508
0.0170;2.8508
0.0171;2.8508
0.0172;2.8508
0.0173;2.8508
0.0174;2.8508
0.0175;2.8508
0.0176;2.8508
0.0177;2.8508
0.0177;2.8508
0.0178;2.8508
0.0179;2.8508
0.0180;2.8508
0.0181;2.8508
0.0182;2.8508
0.0183;2.8508
0.0184;2.8508
0.0185;2.8508
0.0186;2.8508
0.0186;2.8508
0.0187;2.8508
0.0188;2.8508
0.0189;2.8508
0.0190;2.8508
0.0191;2.8508
0.0192;2.8508
0.0193;2.8508
0.0194;2.8508
0.0195;2.8508
0.0195;2.8508
0.0196;2.8508
0.0197;2.8508
0.0198;2.8508
0.0199;2.8508
0.0200;2.8508
0.0201;2.8508
0.0202;2.8508
0.0203;2.8508
0.0204;2.8508
0.0205;2.8508
0.0205;2.8508
0.0206;2.8508
0.0207;2.8508
0.0208;2.8508
0.0209;2.8508
0.0210;2.8508
0.0211;2.8508
0.0212;2.8508
0.0213;2.8508
0.0214;2.8508
0.0214;2.8508
0.0215;2.8508
0.0216;2.8508
0.0217;2.8508
0.0218;2.8508
0.0219;2.8508
0.0220;2.8508
0.0221;2.8508
0.0222;2.8508
0.0223;2.8508
0.0223;2.8508
0.0224;2.8508
0.0225;2.8508
0.0226;2.8508
0.0227;2.8508
0.0228;2.8508
0.0229;2.8508
0.0230;2.8508
0.0231;2.8508
0.0232;2.8508
0.0232;2.8508
0.0233;2.8508
0.0234;2.8508
0.0235;2.8508
0.0236;2.8508
0.0237;2.8508
0.0238;2.8508
0.0239;2.8508
0.0240;2.8508
0.0241;2.8508
0.0241;2.8508
0.0242;2.8508
0.0243;2.8508
0.0244;2.8508
0.0245;2.8508
0.0246;2.8508
0.0247;2.8508
0.0248;2.8508
0.0249;2.8508
0.0250;2.8508
0.0250;2.8508
0.0251;2.8508
0.0252;2.8508
0.0253;2.8508
0.0254;2.8508
0.0255;2.8508
0.0256;2.8508
0.0257;2.8508
0.0258;2.8508
0.0259;2.8508
0.0259;2.8508
0.0260;2.8508
0.0261;2.8508
0.0262;2.8508
0.0263;2.8508
0.0264;2.8508
0.0265;2.8508
0.0266;2.8508
0.0267;2.8508
0.0268;2.8508
0.0268;2.8508
0.0269;2.8508
0.0270;2.8508
0.0271;2.8508
0.0272;2.8508
0.0273;2.8508
0.0274;2.8508
0.0275;2.8508
0.0276;2.8508
0.0277;2.8508
0.0277;2.8508
0.0278;2.8508
0.0279;2.8508
0.0280;2.8508
0.0281;2.8508
0.0282;2.8508
0.0283;2.8508
0.0284;2.8508
0.0285;2.8508
0.0286;2.8508
0.0286;2.8508
0.0287;2.8508
0.0288;2.8508
0.0289;2.8508
0.0290;2.8508
0.0291;2.8508
0.0292;2.8508
0.0293;2.8508
0.0294;2.8508
0.0295;2.8508
0.0295;2.8508
0.0296;2.8508
0.0297;2.8508
0.0298;2.8508
0.0299;2.8508
0.0300;2.8508
0.0301;2.8508
0.0302;2.8508
0.0303;2.8508
0.0304;2.8508
0.0305;2.8508
0.0305;2.8508
0.0306;2.8508
0.0307;2.8508
0.0308;2.8508
0.0309;2.8508
0.0310;2.8508
0.0311;2.8508
0.0312;2.8508
0.0313;2.8508
0.0314;2.8508
0.0314;2.8508
0.0315;2.8508
0.0316;2.8508
0.0317;2.8508
0.0318;2.8508
0.0319;2.8508
0.0320;2.8508
0.0321;2.8508
0.0322;2.8508
0.0323;2.8508
0.0323;2.8508
0.0324;2.8508
0.0325;2.8508
0.0326;2.8508
0.0327;2.8508
0.0328;2.8508
0.0329;2.8508
0.0330;2.8508
0.0331;2.8508
0.0332;2.8508
0.0332;2.8508
0.0333;2.8508
0.0334;2.8508
0.0335;2.8508
0.0336;2.8508
0.0337;2.8508
0.0338;2.8508
0.0339;2.8508
0.0340;2.8508
0.0341;2.8508
0.0341;2.8508
0.0342;2.8508
0.0343;2.8508
0.0344;2.8508
0.0345;2.8508
0.0346;2.8508
0.0347;2.8508
0.0348;2.8508
0.0349;2.8508
0.0350;2.8508
0.0350;2.8508
0.0351;2.8508
0.0352;2.8508
0.0353;2.8508
0.0354;2.8508
0.0355;2.8508
0.0356;2.8508
0.0357;2.8508
0.0358;2.8508
0.0359;2.8508
0.0359;2.8508
0.0360;2.8508
0.0361;2.8508
0.0362;2.8508
0.0363;2.8508
0.0364;2.8508
0.0365;2.8508
0.0366;2.8508
0.0367;2.8508
0.0368;2.8508
0.0368;2.8508
0.0369;2.8508
0.0370;2.8508
0.0371;2.8508
0.0372;2.8508
0.0373;2.8508
0.0374;2.8508
0.0375;2.8508
0.0376;2.8508
0.0377;2.8508
0.0377;2.8508
0.0378;2.8508
0.0379;2.8508
0.0380;2.8508
0.0381;2.8508
0.0382;2.8508
0.0383;2.8508
0.0384;2.8508
0.0385;2.8508
0.0386;2.8508
0.0386;2.8508
0.0387;2.8508
0.0388;2.8508
0.0389;2.8508
0.0390;2.8508
0.0391;2.8508
0.0392;2.8508
0.0393;2.8508
